location,price,size,rooms,price/m2,bathrooms,type,region
Agramunt,16200,120,4,135.0,3,Piso,lleida
Agramunt,42805,152,4,281.61,1,Piso,lleida
Agramunt,68197,110,4,619.97,1,Piso,lleida
Agramunt,124100,383,4,324.02,2,Casa,lleida
Agramunt,33200,59,2,562.71,1,Piso,lleida
Agramunt,19000,80,3,237.5,1,Piso,lleida
Agramunt,50000,60,3,833.33,1,Piso,lleida
Agramunt,16200,120,4,135.0,3,Casa,lleida
Agramunt,42805,152,4,281.61,1,Casa,lleida
Agramunt,43400,93,3,466.67,2,Piso,lleida
Aiguafreda,220000,150,3,1466.67,2,Piso,valles_oriental
Aiguafreda,85000,51,2,1666.67,1,Piso,valles_oriental
Aiguafreda,570000,330,5,1727.27,2,Casa,valles_oriental
Aiguafreda,390000,367,7,1062.67,2,Casa,valles_oriental
Aiguafreda,220000,150,3,1466.67,2,Casa,valles_oriental
Aiguafreda,210000,137,3,1532.85,2,Casa,valles_oriental
Aiguafreda,395000,273,5,1446.89,2,Piso,valles_oriental
Aiguafreda,359000,350,4,1025.71,3,Piso,valles_oriental
Aiguafreda,170000,110,4,1545.45,2,Duplex,barcelona
Aiguafreda,250459,209,6,1198.37,2,Casa,valles_oriental
Aiguafreda,359000,350,4,1025.71,3,Casa,barcelona
Aiguafreda,388900,310,4,1254.52,2,Casa,valles_oriental
Aiguafreda,117000,124,4,943.55,2,Piso,valles_oriental_nord_oest
Aiguafreda,280000,140,3,2000.0,2,Casa,valles_oriental
Aiguafreda,93000,87,3,1068.97,1,Piso,barcelona
Aiguafreda,750000,550,7,1363.64,4,Casa,valles_oriental
Aiguafreda,160000,366,6,437.16,2,Casa,valles_oriental
Aiguafreda,395000,273,5,1446.89,2,Casa,valles_oriental
Aiguafreda,275000,160,4,1718.75,3,Casa,valles_oriental
Aiguafreda,450000,245,4,1836.73,3,Casa,valles_oriental
Aiguafreda,459000,302,5,1519.87,5,Casa,valles_oriental
Aiguafreda,210000,137,3,1532.85,2,Piso,valles_oriental
Aiguafreda,325000,180,4,1805.56,3,Piso,valles_oriental
Aiguafreda,130000,93,4,1397.85,2,Piso,valles_oriental
Aiguafreda,170000,110,4,1545.45,2,Piso,valles_oriental
Aiguafreda,280000,140,3,2000.0,2,Piso,valles_oriental
Aiguafreda,179500,106,3,1693.4,1,Piso,valles_oriental
Aiguafreda,570000,330,5,1727.27,2,Piso,valles_oriental
Aiguafreda,388900,310,4,1254.52,2,Piso,valles_oriental
Aiguafreda,450000,245,4,1836.73,3,Piso,valles_oriental
Aiguafreda,275000,160,4,1718.75,3,Piso,valles_oriental
Aiguafreda,750000,550,7,1363.64,4,Piso,valles_oriental
Aiguafreda,325000,180,4,1805.56,3,Casa,valles_oriental
Aiguafreda,390000,367,7,1062.67,2,Piso,valles_oriental
Aiguafreda,120000,67,2,1791.04,2,Piso,valles_oriental
Aiguafreda,459000,302,5,1519.87,5,Piso,valles_oriental
Aiguafreda,250459,209,6,1198.37,2,Piso,valles_oriental
Aiguafreda,117000,124,4,943.55,2,Casa,valles_oriental
Aiguafreda,160000,366,6,437.16,2,Piso,valles_oriental
Aiguamúrcia,160000,200,3,800.0,2,Casa,tarragona
Aiguamúrcia,160000,200,3,800.0,2,Piso,alt_camp
Aiguamúrcia,215000,229,5,938.86,3,Piso,alt_camp
Aiguamúrcia,215000,239,5,899.58,3,Casa,tarragona
Aiguamúrcia,69400,87,4,797.7,2,Piso,alt_camp
Aiguamúrcia,110000,123,3,894.31,2,Piso,tarragona
Aiguamúrcia,239000,90,3,2655.56,2,Piso,alt_camp
Aiguamúrcia,89900,177,1,507.91,1,Piso,tarragona
Aiguamúrcia,174000,208,3,836.54,2,Piso,tarragona
Aiguamúrcia,75000,184,3,407.61,1,Piso,tarragona
Aiguamúrcia,174000,208,3,836.54,2,Casa,tarragona
Aiguamúrcia,89900,177,1,507.91,1,Casa,tarragona
Aiguamúrcia,215000,239,5,899.58,3,Piso,alt_camp
Aiguamúrcia,110000,123,3,894.31,2,Casa,tarragona
Aiguamúrcia,121200,200,4,606.0,3,Piso,alt_camp
Aiguamúrcia,75000,184,3,407.61,1,Casa,tarragona
Aiguamúrcia,69400,87,4,797.7,2,Casa,tarragona
Aiguamúrcia,62100,159,4,390.57,2,Casa,tarragona
Aiguamúrcia,119900,94,3,1275.53,2,Piso,alt_camp
Aiguamúrcia,62100,159,4,390.57,2,Piso,alt_camp
Albatàrrec,160000,265,3,603.77,3,Casa,lleida
Albatàrrec,78000,230,4,339.13,1,Casa,lleida
Albatàrrec,78000,230,4,339.13,1,Piso,lleida
Albatàrrec,230000,140,4,1642.86,2,Casa,lleida
Albatàrrec,74000,70,2,1057.14,2,Piso,lleida
Albatàrrec,160000,265,3,603.77,3,Piso,lleida
Albatàrrec,145400,122,4,1191.8,2,Piso,lleida
Albatàrrec,114100,120,2,950.83,2,Atico,lleida
Albatàrrec,88000,79,2,1113.92,1,Piso,lleida
Albatàrrec,114100,120,2,950.83,2,Piso,lleida
Albatàrrec,130000,100,3,1300.0,2,Piso,segria
Albatàrrec,152400,112,3,1360.71,2,Piso,lleida
Albatàrrec,230000,140,4,1642.86,2,Piso,lleida
Albatàrrec,74000,73,2,1013.7,1,Piso,lleida
Albatàrrec,74000,70,2,1057.14,2,Duplex,lleida
Albatàrrec,39887,94,3,424.33,1,Piso,lleida
Albesa,129700,252,4,514.68,2,Casa,lleida
Albesa,120700,258,4,467.83,2,Casa,lleida
