Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
la Guineueta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.21,8.17,8.78,9.38,10.07,10.48,10.56,9.71,10.83,12.19,11.87
Canyelles,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.98,7.21,8.04,8.60,9.47,9.49,9.66,9.36,9.72,10.76,10.30
les Roquetes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.33,8.72,9.36,10.17,11.21,11.23,11.65,11.34,12.25,13.61,13.89
Verdun,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.22,9.14,10.10,11.09,11.65,12.08,12.00,12.29,11.99,14.53,13.12
la Prosperitat,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.90,9.63,10.30,11.26,11.76,12.02,12.43,11.84,12.58,13.95,13.89
la Trinitat Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.54,8.79,8.60,10.65,12.02,12.11,11.83,11.62,12.84,13.52,14.34
Torre Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.92,6.06,7.39,6.78,8.24,7.46,8.76,8.84,10.39,7.71,5.63
Ciutat Meridiana,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.38,6.62,6.97,7.59,8.72,9.65,9.25,8.93,9.70,10.39,10.53
Vallbona,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.25,6.66,7.90,6.05,9.48,8.08,7.90,5.96,8.04,-,-
Sant Andreu (Districte),-,5.46,6.08,6.71,7.25,7.85,8.98,9.57,10.72,11.45,11.14,10.65,10.45,9.84,9.21,8.86,9.61,10.39,11.36,11.74,12.21,12.35,11.73,12.51,13.83,13.71
la Trinitat Vella,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.98,8.01,8.51,9.16,10.01,10.11,10.86,10.31,10.97,12.53,12.81
Baró de Viver,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.92,4.78,3.52,6.21,7.48,6.51,7.52,8.01,6.12,9.23,8.06
el Bon Pastor,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.05,8.82,8.71,9.52,10.85,10.50,11.88,10.83,11.54,10.90,10.03
Sant Andreu (Barri),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.19,10.03,10.90,12.33,11.91,12.47,12.50,11.89,12.65,13.96,13.92
la Sagrera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.05,9.73,10.49,10.84,11.92,12.65,12.40,11.98,12.89,14.54,14.40
el Congrés i els Indians,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.24,9.45,10.39,11.37,11.93,12.07,12.52,11.68,12.46,14.02,14.58
Navas,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.91,9.73,10.81,11.47,12.03,12.43,12.67,11.88,12.65,14.45,14.34
Sant Martí,Districte,5.74,6.50,7.47,7.65,8.20,9.20,10.35,11.21,11.84,11.59,11.23,10.90,10.48,9.87,9.75,10.64,11.74,12.90,13.21,13.85,13.79,13.31,14.49,16.18,16.37
el Camp de l'Arpa del Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.74,10.63,11.71,12.95,13.03,13.54,13.57,13.00,14.14,15.76,15.70
el Clot,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.63,10.31,11.19,12.45,12.55,13.25,13.35,12.88,13.63,15.40,15.65
el Parc i la Llacuna del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.24,11.49,12.79,13.76,13.96,15.02,14.33,14.27,15.90,17.25,16.90
la Vila Olímpica del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13.18,14.29,16.21,17.13,16.87,17.55,17.66,16.76,19.11,20.38,21.33
el Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.57,11.73,12.79,13.97,14.46,15.08,14.92,14.33,16.51,17.78,18.49
Diagonal Mar i el Front Marítim del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.18,12.49,13.87,16.03,15.27,17.26,16.66,15.66,17.24,18.81,19.33
el Besòs i el Maresme,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7.74,8.38,8.77,10.03,10.95,11.34,11.91,11.34,12.13,12.49,14.12
Provençals del Poblenou,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.67,9.96,11.78,12.94,13.63,14.11,13.98,13.47,14.54,16.35,16.34
Sant Martí de Provençals,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.88,9.40,9.97,10.90,11.50,11.90,11.78,11.49,12.13,13.54,14.20
la Verneda i la Pau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.32,9.10,9.11,10.16,11.19,11.48,11.55,11.07,11.42,16.30,14.64
